seller_id,seller_state,total_delivered_orders,on_time_orders,on_time_delivery_rate_pct
fc906263ca5083d09dce42fe02247800,MG,117,117,100.0
9616352088dcf83a7c06637f4ebf1c80,PR,97,97,100.0
f3b80352b986ab4d1057a4b724be19d0,DF,91,91,100.0
b372ee768ed69e46ca8cdbd267aa7a38,SP,69,69,100.0
57e632711dec9ec14ca7546769483e7e,SC,65,65,100.0
cc63f0dd2acba93ffed4fe9f8e0321fa,SP,63,63,100.0
fa1a9dec3a9940c072684a46728bf1fc,SC,60,60,100.0
e882b2a25a10b9c057cc49695f222c19,RJ,58,58,100.0
eed78ac17f7f795a19a709745f00cd4e,SP,56,56,100.0
6df688df543f90e9b38f4319e75a9d88,MG,55,55,100.0
4da0e408c99d2fdc2126dc9fce518060,PR,54,54,100.0
2b3e4a2a3ea8e01938cabda2a3e5cc79,SP,54,54,100.0
3bb548e3cb7f70f28e3f11ee9dce0e59,PR,53,53,100.0
3504c0cb71d7fa48d967e0e4c94d59d9,SP,53,53,100.0
81f89e42267213cb94da7ddc301651da,SP,52,52,100.0
aae3bfea055532c57fb453ed3ec80b30,SP,50,50,100.0
325f3178fb58e2a9778334621eecdbf9,SP,46,46,100.0
acce39e832338debb07b02385cde5967,MG,44,44,100.0
6338ea67c41078a46ad99cc009654956,RS,44,44,100.0
718539d38d07dd351c76db862760e2e2,SP,43,43,100.0
bd4889b5e9133b35b66e42a8665cea5c,SP,42,42,100.0
34d1ca11b242c0fee2c834ae8d788566,MG,41,41,100.0
bba74270a87732727b5a3b4fd9ac1c39,MG,40,40,100.0
b90e891671cffd9557f33a97dc523645,PR,39,39,100.0
272f092de69afedd4d2969440b37f18f,SP,39,39,100.0
bb135baca94c82fcb731335ad5b04a03,SP,38,38,100.0
b1ac6ea7895bc3dd6f0f6f4abbdd2821,RS,38,38,100.0
5cbbd5a299cab112b7bf23862255e43e,PR,38,38,100.0
14a08204d03bb6b6bde8029f801ae0eb,SP,38,38,100.0
e49c26c3edfa46d227d5121a6b6e4d37,PE,35,35,100.0
73a63f72308aa20a46f4b1632018f196,PR,35,35,100.0
33ac3e28642ab8bda860a2f693000e78,SP,35,35,100.0
94e93ce877be27a515118dbfd2c2be41,SP,34,34,100.0
48efc9d94a9834137efd9ea76b065a38,PR,34,34,100.0
5debea795b07621e1f90532e18f96145,PR,33,33,100.0
f67efa3f0b6761102a7f8c6b7b571f5d,PR,32,32,100.0
9baf5cb77970f539089d09a38bcec5c3,SP,32,32,100.0
916748bc99315c2d202898ae58b1617e,SP,32,32,100.0
0ebd97a106433a45a4aebe57c1799778,MG,32,32,100.0
40d54b51e962dbe09cabbcfd33298dee,SP,31,31,100.0
f326006815956455b2859abd58fe7e39,SP,30,30,100.0
e9511df20ccd82658a30c37b7fb343af,SP,30,30,100.0
960945e1a9535cbc0cd6ddd35fbe7ae8,SP,29,29,100.0
c6381d2d013342748761e906d45aff76,RS,28,28,100.0
bf00385a5f7fc1ef39a13c2e9ee50a5f,SP,28,28,100.0
55d3daac7c404d59e51c2aa2f4dc5a23,SP,28,28,100.0
f41ce2e25237f9092cd8e6e7516c7a2f,SP,27,27,100.0
916c9de0b5ad957346eeeb12f332687e,PR,27,27,100.0
7e26c750b4cb9f6766f58265ff9ebe95,MG,27,27,100.0
7ade73f1b9b4e965f9009a4c3a7e2c15,SP,27,27,100.0
671585f5a2af58b6e276bc01003c0d2b,PR,27,27,100.0
c731d18cea9bf687ffee82a241c25b11,SC,26,26,100.0
b2a6d334e2833acea353624840e25a0e,SP,26,26,100.0
8ab42aa58097fd4668d60cc648225d5f,GO,26,26,100.0
334cab711dee080b079fa5779b584783,SP,26,26,100.0
013900e863eace745d3ec7614cab5b1a,PR,26,26,100.0
e48b04bf1aa1ef711caebeb7aede6180,PR,25,25,100.0
ddd51ae8cda92f3995a51fc0f0f3eec7,RJ,25,25,100.0
79ed755314cfe6df0daef2c6cd3022cd,SP,25,25,100.0
3481aa57cd91f9f9d3fa1fa12d9a3bf7,SP,25,25,100.0
8c5e007d7bd5693fa1386ffefbc99f6c,SP,24,24,100.0
845e8036c3f7bf62099352f5ed910240,RJ,24,24,100.0
5c853bb56f70f4d14218944bae111d7a,SP,24,24,100.0
3785b653b1b82de85ab47dd139938091,PR,24,24,100.0
07bf9669d84d1f11be443a9dd938f698,SP,24,24,100.0
02ecc2a19303f05e59ce133fd923fff7,SP,24,24,100.0
e6a69c4a27dfdd98ffe5aa757ad744bc,SP,23,23,100.0
e21a1e8be4715b0fcfd5385643bc49c4,SC,23,23,100.0
888faa8bfb0b159c37de6d898b961c31,SC,23,23,100.0
5bffbafbb22daf6d3bfc216a46db8708,RJ,23,23,100.0
42ef3192a9ff87a22d1867b74b3ee205,SP,23,23,100.0
41c2bad7229b0c25e6becf179ebf63ff,RN,23,23,100.0
d8c7ba53e7e38711eaef8c2849d6d2e1,PR,22,22,100.0
c72de06d72748d1a0dfb2125be43ba63,BA,22,22,100.0
bc2ac6b95e1accce9858528ee566c17e,SP,22,22,100.0
6a38087bc8ad4f89ff453561005f6dea,GO,22,22,100.0
