seller_id,seller_state,avg_delivery_days,total_orders,seller_segment
6560211a19b47992c3666cc44a7e94c0,SP,9.54,1996,High
4a3ca9315b744ce9f8e9374361493884,SP,14.42,1949,High
1f50f920176fa81dab994f9023523100,SP,15.57,1926,High
cc419e0650a3c5ba77189a1882b7556a,SP,11.54,1719,High
da8622b14eb17ae2831f4ac5b9dab84a,SP,11.17,1548,High
955fee9216a65b617aa5c0531780ce60,SP,10.74,1472,High
1025f0e2d44d7041d6cf58b6550e0bfa,SP,12.05,1420,High
7c67e1448b00f6e969d365cea6b010ab,SP,22.39,1355,High
ea8482cd71df3c1969d7b9473ff13abc,SP,13.32,1188,High
7a67c85e85bb2ce8582c35f2203ad736,SP,11.17,1155,High
4869f7a5dfa277a7dca6462dcf3b52b2,SP,15.01,1148,High
3d871de0142ce09b7081e2b9d1733cb1,SP,13.42,1131,High
8b321bb669392f5163d04c59e235e066,SP,12.62,1005,High
cca3071e3e9bb7d12640c9fbe2301306,SP,14.24,817,High
620c87c171fb2a6dd6e8bb4dec959fc6,RJ,12.91,778,High
a1043bafd471dff536d0c462352beb48,MG,13.59,752,High
e9779976487b77c6d4ac45f75ec7afe9,SP,9.85,738,High
f8db351d8c4c4c22c6835c19a46f01b0,SP,9.91,714,High
d2374cbcbb3ca4ab1086534108cc3ab7,SP,14.3,620,High
391fc6631aebcf3004804e51b40bcf1e,SP,14.27,605,High
fa1c13f2614d7b5c4749cbc52fecda94,SP,13.34,579,High
7d13fca15225358621be4086e1eb0964,SP,15.69,571,High
128639473a139ac0f3e5f5ade55873a5,PR,14.41,554,High
1835b56ce799e6a4dc4eddc053f04066,SP,12.77,551,High
d91fb3b7d041e83b64a00a3edfb37e4f,SP,11.29,525,High
46dc3b2cc0980fb8ec44634e21d2718e,RJ,11.8,523,High
1900267e848ceeba8fa32d80c1a5f5a8,SP,12.8,523,High
53e4c6e0f4312d4d2107a8c9cddf45cd,SP,12.03,512,High
85d9eb9ddc5d00ca9336a2219c97bb13,MG,14.74,512,High
4e922959ae960d389249c378d1c939f5,SP,14.63,446,High
9f505651f4a6abe901a56cdc21508025,SP,8.17,426,High
8581055ce74af1daba164fdbd55a40de,SP,12.83,426,High
8160255418d5aaa7dbdc9f4c64ebda44,SP,16.78,424,High
218d46b86c1881d022bce9c68a7d4b15,SP,13.8,420,High
2138ccb85b11a4ec1e37afbd1c8eda1f,SP,11.26,419,High
dbc22125167c298ef99da25668e1011f,MG,11.41,417,High
897060da8b9a21f655304d50fd935913,SP,14.86,413,High
16090f2ca825584b5a147ab24aa30c86,SP,9.22,406,High
06a2c3af7b3aee5d69171b0e14f0ee87,MA,17.74,402,High
53243585a1d6dc2643021fd1853d8905,BA,13.37,400,High
4d6d651bd7684af3fffabd5f08d12e5a,SP,13.06,389,High
77530e9772f57a62c906e1c21538ab82,PR,15.09,381,High
de722cd6dad950a92b7d4f82673f8833,PE,12.77,377,High
c826c40d7b19f62a09e2d7c5e7295ee2,SP,13.2,365,High
7299e27ed73d2ad986de7f7c77d919fa,MG,11.32,358,High
92eb0f42c21942b6552362b9b114707d,SP,13.48,358,High
b2ba3715d723d245138f291a6fe42594,SP,13.97,350,High
5dceca129747e92ff8ef7a997dc4f8ca,SP,11.27,343,High
4c2b230173bb36f9b240f2b8ac11786e,SP,12.8,343,High
87142160b41353c4e5fca2360caf6f92,RS,10.81,339,High
fa40cc5b934574b62717c68f3d678b6d,SP,11.2,337,High
c70c1b0d8ca86052f45a432a38b73958,SP,7.67,336,High
7ddcbb64b5bc1ef36ca8c151f6ec77df,SP,12.64,334,High
ef506c96320abeedfb894c34db06f478,SP,13.34,332,High
7142540dd4c91e2237acb7e911c4eba2,SP,14.76,328,High
1da3aeb70d7989d1e6d9b0e887f97c23,SP,8.35,324,High
634964b17796e64304cadf1ad3050fb7,RJ,14.5,323,High
70a12e78e608ac31179aea7f8422044b,SP,14.7,323,High
7e93a43ef30c4f03f38b393420bc753a,SP,11.34,322,High
855668e0971d4dfd7bef1b6a4133b41b,SP,16.15,311,High
c3cfdc648177fdbbbb35635a37472c53,PR,9.69,307,High
fe2032dab1a61af8794248c8196565c9,SP,10.6,305,High
88460e8ebdecbfecb5f9601833981930,PR,18.27,300,High
37be5a7c751166fbc5f8ccba4119e043,SP,10.61,278,High
1554a68530182680ad5c8b042c3ab563,MG,14.08,267,High
25c5c91f63607446a97b143d2d535d31,MG,13.93,266,High
0ea22c1cfbdc755f86b9b54b39c16043,MG,11.02,265,High
562fc2f2c2863ab7e79a9e4388a58a14,SP,11.26,265,High
a3a38f4affed601eb87a97788c949667,SC,12.49,260,High
17e34d8224d27a541263c4c64b11a56b,SP,14.04,260,High
e9bc59e7b60fc3063eb2290deda4cced,PR,14.57,260,High
e5a3438891c0bfdb9394643f95273d8e,SP,15.38,247,High
0241d4d5d36f10f80c644447315af0bd,PR,10.94,246,High
dc4a0fc896dc34b0d5bfec8438291c80,SP,13.81,242,High
c3867b4666c7d76867627c2f7fb22e21,SP,15.22,241,High
d1c281d3ae149232351cd8c8cc885f0d,SP,12.46,239,High
37515688008a7a40ac93e3b2e4ab203f,SP,15.08,239,High
7aa4334be125fcdd2ba64b3180029f14,SP,15.98,237,High
001cca7ae9ae17fb1caed9dfb1094831,ES,13.1,234,High
