state_abbr,state_name,order_month,total_orders
AC,Acre,2018-01,6
AC,Acre,2018-02,3
AC,Acre,2018-03,2
AC,Acre,2018-04,4
AC,Acre,2018-05,2
AC,Acre,2018-06,3
AC,Acre,2018-07,4
AC,Acre,2018-08,3
AL,Alagoas,2018-01,36
AL,Alagoas,2018-02,27
AL,Alagoas,2018-03,27
AL,Alagoas,2018-04,27
AL,Alagoas,2018-05,19
AL,Alagoas,2018-06,24
AL,Alagoas,2018-07,22
AL,Alagoas,2018-08,16
AM,Amazonas,2018-01,12
AM,Amazonas,2018-02,8
AM,Amazonas,2018-03,8
AM,Amazonas,2018-04,6
AM,Amazonas,2018-05,9
AM,Amazonas,2018-06,7
AM,Amazonas,2018-07,18
AM,Amazonas,2018-08,4
AP,Amapa,2018-01,11
AP,Amapa,2018-02,2
AP,Amapa,2018-03,5
AP,Amapa,2018-04,5
AP,Amapa,2018-05,6
AP,Amapa,2018-06,2
AP,Amapa,2018-07,6
AP,Amapa,2018-08,2
BA,Bahia,2018-01,228
BA,Bahia,2018-02,208
BA,Bahia,2018-03,235
BA,Bahia,2018-04,216
BA,Bahia,2018-05,237
BA,Bahia,2018-06,198
BA,Bahia,2018-07,245
BA,Bahia,2018-08,159
CE,Ceara,2018-01,77
CE,Ceara,2018-02,84
CE,Ceara,2018-03,93
CE,Ceara,2018-04,96
CE,Ceara,2018-05,72
CE,Ceara,2018-06,72
CE,Ceara,2018-07,84
CE,Ceara,2018-08,55
DF,Distrito Federal,2018-01,135
DF,Distrito Federal,2018-02,170
DF,Distrito Federal,2018-03,147
DF,Distrito Federal,2018-04,146
DF,Distrito Federal,2018-05,140
DF,Distrito Federal,2018-06,147
DF,Distrito Federal,2018-07,165
DF,Distrito Federal,2018-08,143
ES,Espirito Santo,2018-01,145
ES,Espirito Santo,2018-02,149
ES,Espirito Santo,2018-03,133
ES,Espirito Santo,2018-04,140
ES,Espirito Santo,2018-05,132
ES,Espirito Santo,2018-06,123
ES,Espirito Santo,2018-07,122
ES,Espirito Santo,2018-08,103
GO,Goias,2018-01,144
GO,Goias,2018-02,146
GO,Goias,2018-03,141
GO,Goias,2018-04,132
GO,Goias,2018-05,136
GO,Goias,2018-06,105
GO,Goias,2018-07,112
GO,Goias,2018-08,117
MA,Maranhao,2018-01,55
MA,Maranhao,2018-02,55
MA,Maranhao,2018-03,49
MA,Maranhao,2018-04,46
